ID|Kategori|SoruMetni|SecenekA|SecenekB|SecenekC|SecenekD|DogruCevap
35|K1|Mortal Kombat oyununun ünlü bitirici hareketine ne denir?|Combo|Finish Him|Fatality|Knockout|C
36|K1|Bir oyunu bilgisayara indirmeden internet üzerinden oynamaya ne denir?|Cloud Gaming|Hard Gaming|Retro Gaming|Soft Gaming|A
37|K1|CS2 oyununda en popüler keskin nişancı tüfeği hangisidir?|AK-47|P90|M4A1|AWP|D
38|K1|Oyun dünyasında 'Hileci' anlamına gelen terim nedir?|Gamer|Pro|Noob|Cheater|D
39|K1|Street Fighter oyunundaki Türk yağlı güreşçi karakter kimdir?|Hakan|Honda|Zangief|Ryu|A
40|K1|Bir oyunda hikayeyi anlatmak için giren videolara ne denir?|Demo|Cutscene|Trailer|Gameplay|B
41|K1|Twitch platformu ne amaçla kullanılır?|Oyun canlı yayını yapmak|Film izlemek|Alışveriş yapmak|Müzik dinlemek|A
42|K1|Oyunlarda tecrübe puanının kısaltması nedir?|SP|MP|XP|HP|C
43|K1|Call of Duty serisinin ana teması genellikle nedir?|Spor|Yarış|Savaş|Bulmaca|C
44|K1|Resident Evil serisi hangi türüyle bilinir?|Spor|Yarış|Korku-Gerilim|Komedi|C
45|K1|E-spor maçlarında takımların koçuna ne denir?|Manager|Coach|Captain|Boss|B
46|K1|GTA V oyununda kaç farklı ana karakteri yönetebiliriz?|3|1|4|2|A
47|K1|Hangisi bir Battle Royale oyunu değildir?|The Sims|PUBG|Apex Legends|Fortnite|A
48|K1|Metin2 oyununda 30 level olunca ne yapabiliriz?|Lonca kurmak|Evlenmek|Balık tutmak|At sürmek|C
49|K1|Oyunlarda can barını gösteren kısaltma nedir?|GG|XP|HP|MP|C
50|K1|Tekken oyun serisi ne türdedir?|Dövüş|Futbol|Strateji|Yarış|A
51|K1|Zula oyunu hangi ülkenin yapımıdır?|Almanya|ABD|Güney Kore|Türkiye|D
52|K1|Oyunlarda bilgisayar tarafından yönetilen karakterlere ne denir?|PC|AFK|NPC|MVP|C
53|K1|Hangisi Riot Games oyunudur?|Overwatch|Dota 2|Valorant|CS2|C
54|K1|Klavye başında olmayan oyuncuya ne denir?|AFK|Pro|Noob|Bot|A
55|K1|Pubg oyununda birinci olana ne verilir?|Kupa|Çorba Parası|Madalya|Altın|B
56|K1|Oyunun en zor düşmanına ne denir?|Noob|Ally|Boss|Minion|C
57|K1|Oyunlarda bir bölüme tekrar başlamaya ne denir?|Restart|Resume|Quit|Pause|A
58|K1|Hangisi bir oyun motoru değildir?|Unity|Photoshop|Unreal Engine|Godot|B
59|K1|Süper Mario'nun kurtarmaya çalıştığı prensesin adı nedir?|Peach|Zelda|Rosalina|Daisy|A
60|K1|Oyunlarda ekran kartı üreten ünlü yeşil logolu firma hangisidir?|AMD|Nvidia|Asus|Intel|B
61|K1|Clash Royale oyununda iksir en fazla kaça dolar?|8|10|5|12|B
62|K1|Brawl Stars oyununda karakterlere ne ad verilir?|Savaşçı|Şampiyon|Asker|Kahraman|A
63|K1|GTA Vice City'nin şehri hangi şehirden ilham alınarak tasarlanmıştır?|Miami|Los Angeles|New York|San Francisco|A
64|K1|Counter-Strike'da bombayı imha eden taraf hangisidir?|Terörist|Anti-Terörist|Rehineler|Seyirciler|B
65|K1|Oyunlarda haritayı görmemizi sağlayan küçük haritaya ne denir?|Minimap|Roadmap|Big Map|GPS|A
66|K1|Hangisi araba futbolu oyunudur?|FIFA|Need for Speed|PES|Rocket League|D
67|K1|Uncharted serisinin ana karakteri kimdir?|Joel|Nathan Drake|Arthur Morgan|Lara Croft|B
68|K1|Oyunlarda 'Headshot' ne anlama gelir?|Kafadan vuruş|Boşa atış|Koldan vuruş|Ayaktan vuruş|A
69|K1|Hangisi bir kart oyunudur?|Doom|Halo|Hearthstone|Crysis|C
70|K1|Oyun dünyasında Steam'in sahibi olan firma hangisidir?|Ubisoft|Epic Games|Blizzard|Valve|D
71|K1|Euro Truck Simulator 2 ne tür bir oyundur?|Savaş|Korku|Yarış|Simülasyon|D
72|K1|Hangisi Nintendo'nun el konsoludur?|PS Vita|Xbox Series S|Game Boy|PSP|C
73|K1|Far Cry oyunları genellikle nerede geçer?|Uzayda|Okulda|Vahşi doğada/Adada|Şehir merkezinde|C
74|K1|Oyunlarda 'Loot' yapmak ne demektir?|Eşya toplamak|Kaçmak|Savaşmak|Uyumak|A
75|K1|Hangisi bir korku oyunudur?|Tetris|Sims|Outlast|FIFA|C
76|K1|Spider-Man oyunlarında New York'ta nasıl seyahat ederiz?|Yürüyerek|Taksiyle|Ağ atarak|Metroyla|C
77|K1|Red Dead Redemption 2 hangi dönemde geçer?|Vahşi Batı|Uzay Çağı|Gelecek|Orta Çağ|A
78|K1|Hangisi MOBA türünde bir oyundur?|Need for Speed|Call of Duty|The Sims|League of Legends|D
79|K1|Batman oyun serisinin genel adı nedir?|Batman: Joker|Batman: Dark Knight|Batman: Arkham|Batman: Gotham|C
80|K1|Oyunlarda silahın mermisini yenileme işlemine ne denir?|Aim|Fire|Reload|Shoot|C
81|K1|Hangisi bir zombi oyunudur?|Left 4 Dead|Forza Horizon|NBA 2K|Civilization|A
82|K1|Hitman oyunundaki ajanın kod adı nedir?|Ajan 47|Ajan Smith|Ajan 007|Ajan H|A
83|K1|Max Payne oyunlarında zamanı yavaşlatma özelliğine ne denir?|Time Travel|Fast Forward|Bullet Time|Slow Motion|C
84|K1|Oyunlarda karakterin görünüşünü değiştiren kıyafetlere ne denir?|Weapon|Armor|Map|Skin (Kostüm)|D
85|K1|Hangisi dijital oyun mağazasıdır?|Google Drive|YouTube|Facebook|Epic Games Store|D
86|K1|Fall Guys oyununda amaç nedir?|Parkurları geçip sona kalmak|Savaşmak|Araba sürmek|Bulmaca çözmek|A
87|K1|Crysis oyunundaki askerlerin giydiği özel kıyafetin adı nedir?|Space Suit|Bat Suit|Iron Man Suit|Nano Suit|D
88|K1|Hangi oyun küplerden oluşan bir dünyada geçer?|GTA|Call of Duty|FIFA|Minecraft|D
89|K1|Mount & Blade serisi hangi Türk firmasına aittir?|Riot Games|Motion Blur|Crytek|TaleWorlds|D
90|K1|Oyunlarda 'Noob' kime denir?|Çok iyi oynayana|Yöneticilere|Hile yapana|Oyuna yeni başlayana/Acemiye|D
91|K1|Hangisi bir strateji oyunudur?|Age of Empires|Mario|Need for Speed|Tekken|A
92|K1|Team Fortress 2 oyununda kaç farklı sınıf vardır?|9|5|12|3|A
93|K1|Portal oyununda elimizdeki silah ne açar?|Ateş|Su|Portal|Elektrik|C
94|K1|Oyunlarda banlanmak ne demektir?|Arkadaş eklemek|Seviye atlamak|Ödül almak|Oyundan yasaklanmak|D
95|K1|Hangisi bir hayatta kalma oyunudur?|The Long Dark|FIFA|Pacman|Tetris|A
96|K1|Devil May Cry oyunundaki ana karakterin adı nedir?|Luigi|Dante|Mario|Kratos|B
97|K1|Hangisi bir ritim oyunudur?|Age of Empires|Guitar Hero|Call of Duty|Far Cry|B
98|K1|Oyunlarda FPS değeri neyi gösterir?|İnternet hızını|Sıcaklığı|Saniyedeki kare sayısını|Ses seviyesini|C
99|K1|Prince of Persia oyununda prensin en büyük yeteneği nedir?|Ateş püskürtmek|Uçmak|Görünmez olmak|Zamanı geri almak|D
100|K1|Bir oyunun hatalarını düzelten güncellemeye ne denir?|Patch|Crack|DLC|Demo|A
101|K1|Among Us oyununda toplantı çağırmak için hangi butona basılır?|Emergency Meeting|Kill|Vent|Task|A
102|K1|Bilgisayar oyunlarında görüntüyü işleyen donanım hangisidir?|İşlemci|Harddisk|Ekran Kartı|RAM|C
103|K1|Hangisi bir 'Battle Royale' oyunu değildir?|Valorant|Fortnite|PUBG|Call of Duty: Warzone|A
104|K1|GTA San Andreas ana karakterinin adı nedir?|Tommy Vercetti|Niko Bellic|Carl Johnson|Trevor Philips|C
105|K1|Oyunlarda karakteri birinci şahıs gözünden gördüğümüz kamera açısı nedir?|RPG|RTS|TPS|FPS|D
106|K1|Hangisi inşaat yapma mekaniği ile ünlü bir Battle Royale oyunudur?|Apex Legends|Warzone|Fortnite|PUBG|C
107|K1|Subway Surfers oyununda karakter neyin üzerinde koşar?|Deniz|Çatı|Tren Rayları|Otoyol|C
108|K1|Half-Life oyununda levye hangi karakterle özdeşleşmiştir?|Gordon Freeman|Barney|Alyx|G-Man|A
109|K1|League of Legends oyununda ormanda gezen oyuncuya ne denir?|Jungler|Mid|Support|Top|A
110|K1|Hangisi Türk yapımı bir oyundur?|God of War|The Witcher|Skyrim|Anomaly Agent|D
111|K1|FIFA serisinde 'Ultimate Team' modunun kısaltması nedir?|FAT|FIT|FOT|FUT|D
112|K1|Oyunlarda 'Mana' genellikle ne işe yarar?|Büyü/Yetenek kullanmaya|Hızlı koşmaya|Zıplamaya|Can doldurmaya|A
113|K1|CS2'de en pahalı silah hangisidir?|AWP|M4A4|M249|AK-47|C
114|K1|Hangisi PlayStation kolundaki bir tuş değildir?|Y|Kare|Yuvarlak|Üçgen|A
115|K1|Brawl Stars oyununu yapan firma hangisidir?|Valve|Supercell|Epic|Riot|B
116|K1|Twitch'te yayıncılara para kazandıran abonelik sistemine ne denir?|Like|Retweet|Sub|Follow|C
117|K1|Assassin's Creed oyunlarının imza silahı nedir?|Balta|Tabanca|Gizli Bıçak|Ok|C
118|K1|Oyunun başında ismimizi yazdığımız ekrana ne denir?|Game Over|Character Creation|Credits|Settings|B
119|K1|Hangisi bir araba yarışı oyunudur?|Dota 2|Forza Horizon|Mortal Kombat|Valorant|B
120|K1|Oyunlarda 'Save' ne demektir?|Oyunu silmek|Oyunu durdurmak|Oyunu kapatmak|Oyunu kaydetmek|D
121|K1|Mario'nun bindiği yeşil dinozorun adı nedir?|Yoshi|Luigi|Toad|Bowser|A
122|K1|PlayStation kollarındaki 'R1, R2' tuşları ne anlama gelir?|Ready|Right|Left|Run|B
123|K1|Oyunlarda 'Combo' ne demektir?|Tek vuruş|Oyunu kaybetmek|Hata yapmak|Ardışık vuruşlar serisi|D
124|K1|Hangisi bir oyun platformu değildir?|Steam|Netflix|Epic Games|Origin|B
125|K1|Oyunlarda 'Easy' zorluk seviyesi ne anlama gelir?|Orta|İmkansız|Zor|Kolay|D
126|K1|Counter-Strike'da 'Bomb has been planted' ne demektir?|Bomba düştü|Bomba kuruldu|Bomba imha edildi|Bomba patladı|B
127|K1|The Sims oyununda karakterlerin ihtiyaçlarını gösteren panele ne denir?|Moodlet|Need Bar|Sim Bar|Life Bar|B
128|K1|PUBG oyununda haritanın daralmasına sebep olan şeye ne denir?|Yangın|Alan|Deprem|Sel|B
129|K1|Hangi oyun karakteri 'Çift Tabanca' kullanmasıyla bilinir?|Mario|Sonic|Kratos|Lara Croft|D
130|K1|Oyunlarda 'Loading' ekranı ne zaman çıkar?|Karakter ölürken|Oyun yüklenirken|Oyun oynanırken|Oyun biterken|B
131|K1|Hangisi 'Açık Dünya' oyunudur?|Pacman|Tetris|Satranç|GTA V|D
132|K1|Klavye üzerindeki 'Esc' tuşu oyunlarda genellikle ne işe yarar?|Menüyü açar/Durdurur|Koşar|Ateş eder|Zıplar|A
133|K1|Hangisi bir futbol oyunudur?|Need for Speed|God of War|eFootball|Call of Duty|C
134|K1|Oyunlarda 'Clan' ne demektir?|Oyun haritası|Düşman grubu|Oyun parası|Oyuncu topluluğu/Takım|D
135|K1|Mortal Kombat'ta 'Scorpion' karakterinin meşhur repliği nedir?|"Get Over Here!"|"Hadouken!"|"Game Over!"|"Fatality!"|A
136|K1|Oyunlarda 'Quest' ne anlama gelir?|Harita|Soru|Cevap|Görev|D
137|K1|Valorant oyununda bomba kurulmazsa her tur kaç saniyedir?|100|140|120|60|A
138|K1|Metin2'de 'Dolunay Kılıcı' hangi seviyede giyilir?|20|30|15|45|B
139|K1|Oyunlarda 'Ping' yüksek olursa ne olur?|Ses yükselir|Görüntü netleşir|Oyun donar/gecikir|Oyun hızlanır|C
140|K1|Zula oyununda İstanbul'daki meşhur harita hangisidir?|Taksim|Galata|Üsküdar Sokakları|Kız Kulesi|C
141|K1|Hangisi sanal gerçeklik gözlüğüdür?|Monitor|Mouse|TV|VR|D
142|K1|Oyunlarda 'Tutorial' bölümü ne işe yarar?|Zorlaştırır|Oyunu öğretir|Oyunu bitirir|Kapatır|B
143|K1|Spiderman oyunlarında Peter Parker'ın mesleği nedir?|Avukat|Fotoğrafçı/Öğrenci|Doktor|Polis|B
144|K1|Oyunlarda 'Spawn' olmak ne demektir?|Ölmek|Kaybetmek|Yeniden doğmak/Belirmek|Kazanmak|C
145|K1|Clash of Clans oyununda köy binasını koruyan savunma hangisidir?|Top|Okçu Kulesi|Havan|Hepsi|D
146|K1|Hangisi bir Microsoft oyunudur?|The Last of Us|Uncharted|God of War|Minecraft|D
147|K1|GTA serisinde polislerden kurtulmak için ne yaparız?|Boyacıya gireriz/Saklanırız|Polise sarılırız|Dans ederiz|Alışveriş yaparız|A
148|K1|Oyunlarda 'Inventory ne işe yarar?|Haritayı gösterir|Eşyaları taşır|Ayarları açar|Oyunu kaydeder|B
149|K1|Resident Evil oyunlarındaki ana düşmanlar genellikle nedir?|Kovboylar|Uzaylılar|Zombiler|Robotlar|C
150|K1|Hangisi bir korku oyunu karakteridir?|Mario|Slenderman|Sonic|Pikachu|B
151|K1|Oyunlarda 'Multiplayer' ne anlama gelir?|Tek kişilik|Hikaye modu|Eğitim modu|Çok oyunculu|D
152|K1|CS2 oyununda 'Flashbang' bombası ne yapar?|Kör eder|Yakar|Öldürür|Dondurur|A
153|K1|Hangisi bir mobil oyun türüdür?|Mega Soft|Hyper Casual|Ultra Hard|Super Fast|B
154|K1|Oyunlarda 'Glitch' ne demektir?|Oyun hatası|Oyun bölümü|Oyun kahramanı|Oyun sonu|A
155|K1|Hangisi bir dövüş oyunudur?|Sims|Farming Simulator|Street Fighter|Euro Truck|C
156|K1|LoL oyununda 'Mid' hangi koridordur?|Orta|Alt|Üst|Orman|A
157|K1|Oyunlarda 'GG' kısaltması ne anlama gelir?|"Get Gun"|"Good Gold"|"Go Go"|"Good Game"|D
158|K1|PUBG oyununda sağlık doldurmak için ne içilir?|Kahve|Su|Çay|Enerji İçeceği|D
159|K1|Hangisi bir oyun firmasıdır?|Samsung|Coca Cola|Ubisoft|Adidas|C
160|K1|Oyunlarda 'Map' ne demektir?|Silah|Harita|Karakter|Araba|B
161|K1|Hangi oyunda 'Steve' adında bir karakter vardır?|GTA|Minecraft|FIFA|Valorant|B
162|K1|Oyunlarda 'Settings' menüsü ne işe yarar?|Karakteri siler|Ayarları yapar|Oyunu başlatır|Oyundan çıkar|B
163|K1|Hangisi bir oyun dağıtım platformudur?|Twitter|Tiktok|Epic Games|Instagram|C
164|K1|Oyunlarda 'Level Up' ne demektir?|Oyunu silmek|Seviye atlamak|Oyunu kaybetmek|Oyunu durdurmak|B
165|K1|Hangi oyun serisinde 'Ezio Auditore' karakteri vardır?|Call of Duty|Hitman|Far Cry|Assassin's Creed|D
166|K1|Oyunlarda 'Damage' ne demektir?|Hız|Zıplama|Can|Hasar|D
167|K1|CS2'de bomba imha kiti ne işe yarar?|Silah verir|Can doldurur|Bombayı hızlı çözer|Bombayı patlatır|C
168|K1|Oyunlarda 'Username' ne demektir?|Adres|Kullanıcı adı|E-posta|Şifre|B
169|K1|Hangisi bir yarış oyunudur?|Tekken|Dota|Overwatch|Gran Turismo|D
170|K1|Oyunlarda 'Quit' tuşu ne yapar?|Duraklatır|Oyunu kaydeder|Oyunu başlatır|Oyundan çıkar|D
171|K1|Hangisi bir oyun faresi özelliğidir?|DPI Ayarı|Hoparlör|Kamera|Dokunmatik Ekran|A
172|K1|Oyunlarda 'Joystick' ne işe yarar?|Karakteri kontrol eder|İnternete girer|Ses açar|Görüntü verir|A
173|K1|Hangi oyunda 'Impostor' bulunur?|Brawl Stars|Minecraft|Among Us|Roblox|C
174|K1|Oyunlarda 'Streamer' kime denir?|Oyun yapımcısına|Oyun yayıncısına|Oyun düşmanına|Oyun karakterine|B
175|K1|League of Legends oyununda kaç kişiyle takım olunur?|6|5|4|3|B
176|K1|Hangisi bir korku oyunu serisidir?|PES|NBA|FIFA|Silent Hill|D
177|K1|Oyunlarda 'Sensitivity' neyi ayarlar?|Sesi|Görüntüyü|Zorluğu|Hassasiyeti|D
178|K1|Hangisi bir oyun bilgisayarı markasıdır?|Beko|Monster|Vestel|Arçelik|B
179|K1|Oyunlarda 'Password' ne demektir?|Harita|Bölüm|Şifre|Kullanıcı adı|C
180|K1|Hangisi bir oyun konsolu markasıdır?|Philips|Xbox|LG|Samsung|B
181|K1|Oyunlarda 'Lobby' ne işe yarar?|Bölüm sonu|Oyun öncesi bekleme alanı|Savaş alanı|Ayarlar menüsü|B
182|K1|Hangisi bir Türk oyun şirketidir?|Peak Games|Ubisoft|Blizzard|EA|A
183|K1|Oyunlarda 'Rank' ne demektir?|İsim|Silah|Para|Rütbe/Sıralama|D
184|K1|Valorant'ta eski sistemde en yüksek rütbe nedir?|Altın|Radyant|Platin|Demir|B
185|K1|Oyunlarda 'Ban' yemek ne demektir?|Seviye atlamak|Ödül almak|Yasaklanmak|Para kazanmak|C
186|K1|Hangisi bir oyun türü değildir?|PDF|FPS|RPG|RTS|A
187|K1|Oyunlarda 'Beta' sürüm ne demektir?|Hatalı sürüm|Tam sürüm|Eski sürüm|Test sürümü|D
188|K1|Oyunlarda 'Update' ne demektir?|Açma|Kapatma|Güncelleme|Silme|C
189|K1|Hangisi bir oyun karakteridir?|Super Mario|Bugs Bunny|Tom ve Jerry|Mickey Mouse|A
190|K1|Oyunlarda 'Credit' ne işe yarar?|Gerçek para|Puan|Can|Oyun parası|D
191|K1|CS2 oyununda 'Rush B' ne demektir?|B'ye hücum et|B'de bekle|B'yi koru|B'den kaç|A
192|K1|Oyunlarda 'Camper' kime denir?|Hızlı oynayana|Pusup bekleyene|Çok koşana|Hile yapana|B
193|K1|Hangisi bir oyun mağazasıdır?|Manav|Bakkal|Play Store|Kasap|C
194|K1|Oyunlarda 'Download' ne demektir?|Oynamak|Silmek|Yüklemek|İndirmek|D
195|K1|Hangisi bir oyun yapımcısıdır?|Cristiano Ronaldo|Hideo Kojima|Elon Musk|Brad Pitt|B
196|K1|Oyunlarda 'Single Player' ne demektir?|Tek oyunculu|Çok oyunculu|Takımlı|Online|A
197|K1|Hangisi bir oyun dergisidir?|Level|Time|Forbes|Vogue|A
198|K1|Oyunlarda 'Offline' ne demektir?|Canlı|Çevrimdışı|Çevrimiçi|Yayın|B
199|K1|Hangisi bir oyun fuarıdır?|Oscar|E3|Nobel|Grammy|B
200|K1|Oyunlarda 'Install' ne demektir?|Yüklemek/Kurmak|Silmek|Oynamak|İndirmek|A
201|K2|Tüm zamanların en çok satan, farklı şekillerin üst üste dizildiği bulmaca oyunu hangisidir?|Breakout|Tetris|Pong|Pac-Man|B
202|K2|SEGA'nın maskotu olan hızlı mavi kirpinin adı nedir?|Sonic|Knuckles|Shadow|Tails|A
203|K2|Atari salonlarının vazgeçilmezi olan, hayaletlerden kaçıp yem yediğimiz oyun hangisidir?|Pac-Man|Space Invaders|Galaga|Asteroids|A
204|K2|Street Fighter serisindeki Ryu ve Ken'in attığı enerji topunun adı nedir?|Kamehameha|Hadouken|Shoryuken|Sonic Boom|B
205|K2|Nintendo'nun ilk ev konsolu olan ve 'Kasetli Atari' olarak bildiğimiz cihaz hangisidir?|Game Boy|NES|SEGA Genesis|Atari 2600|B
206|K2|Prensesi kurtarmak için mantar yiyip büyüyen tesisatçı kimdir?|Luigi|Waluigi|Mario|Wario|C
207|K2|1980 yapımı, sarı bir karakterin labirentte gezdiği oyunun adı?|Pac-Man|Dig Dug|Frogger|Donkey Kong|A
208|K2|Atari salonlarında 'Jeton' atmak ne anlama gelirdi?|Oyuna başlamak|Hile yapmak|Oyunu bitirmek|Kaydetmek|A
209|K2|Duck Hunt oyununda ördekleri vurmak için kullanılan turuncu aksesuar nedir?|Klavye|Tabanca|Joystick|Direksiyon|B
210|K2|Mortal Kombat'ın en büyük rakibi olan dövüş oyunu hangisidir?|Tekken|King of Fighters|Street Fighter|Soulcalibur|C
211|K2|Eski oyunlarda hile yapmak için kullanılan meşhur tuş kombinasyonunun adı nedir?|Konami Code|Sega Code|Nintendo Code|Capcom Code|A
212|K2|Hangi oyun karakteri 8-bit döneminde 'Jumpman' olarak biliniyordu?|Donkey Kong|Link|Mario|Sonic|C
213|K2|Space Invaders oyununda yukarıdan üzerimize ne gelir?|Toplar|Uzaylılar|Arabalar|Meyveler|B
214|K2|Prince of Persia (1989) oyununda prensesi kurtarmak için kaç dakikamız vardır?|120|90|30|60|D
215|K2|Eski kasetli atarilerde oyun açılmayınca ne yapılırdı?|Boyanırdı|Kasete Üflenirdi|Isıtılırdı|Yıkanırdı|B
216|K2|Donkey Kong oyununda Mario'nun savaştığı dev hayvan nedir?|Ejderha|Aslan|Timsah|Goril|D
217|K2|River Raid oyununda uçağımız neyin üzerinden uçar?|Nehir|Uzay|Deniz|Çöl|A
218|K2|Galaxian oyununda düşman gemileri ne yapar?|Saklanır|Üzerinize dalar|Ateş etmez|Döner|B
219|K2|Hangisi bir 'Beat em up' türü oyundur?|Tetris|Street Fighter|SimCity|Final Fight|D
220|K2|Metal Slug oyunlarında kurtardığımız esirler bize ne verir?|Silah/Puan|Harita|Can|Para|A
221|K2|Sunset Riders oyununda karakterlerimiz ne tür askerlerdir?|Şövalye|Uzaylı|Kovboy|Samuray|C
222|K2|Crash Bandicoot oyununda topladığımız meyvenin adı nedir?|Elma|Wumpa Meyvesi|Çilek|Muz|B
223|K2|Bomberman oyununda rakipleri yenmek için ne kullanırız?|Bomba|Kılıç|Büyü|Silah|A
224|K2|Mega Man karakterinin en belirgin özelliği nedir?|Kırmızı şapka takması|Sarı saçları|Mavi zırhı ve kolundaki silahı|Devasa kılıcı|C
225|K2|The Legend of Zelda serisinin yeşil giyinen ana kahramanı kimdir?|Ganon|Zelda|Link|Epona|C
226|K2|Street Fighter II'de kolları ve bacakları uzayan karakter kimdir?|Blanka|Dhalsim|Sagat|Zangief|B
227|K2|Eski atari oyunlarında High Score ne demektir?|Düşük Puan|Oyun Sonu|En Yüksek Puan|Hile Modu|C
228|K2|Contra oyununda karakterler ne askeridir?|Pilot|Komando|Doktor|Denizci|B
229|K2|Lode Runner oyununda düşmanlardan kaçarken ne yaparız?|Uçarız|Ateş ederiz|Yeri kazarız|Görünmez oluruz|C
230|K2|Hangi oyun, atari salonlarında Mustafa'lı oyun olarak bilinir?|Final Fight|Cadillacs and Dinosaurs|Street Fighter|Tekken|B
231|K2|Eski oyunlarda 'Boss' savaşından sonra genellikle ne olur?|Oyun başa döner|Bölüm geçilir|Karakter ölür|Reklam girer|B
232|K2|Yie Ar Kung-Fu oyununda ana karakter kime karşı dövüşür?|Farklı dövüş ustalarına|Uzaylılara|Zombilere|Robotlara|A
233|K2|Adventure Island oyununda kaykay süren karakterin adı nedir?|Mario|Master Higgins|Sonic|Takahashi|B
234|K2|Mappy oyunundaki ana karakter nedir?|Kedi|Fare|Köpek|Kuş|B
235|K2|Road Fighter oyununda arabamızın yakıtı bitmemesi için ne toplarız?|Renkli kalpler|Para|Altın|Bayrak|A
236|K2|Worms oyununda savaştığımız canlılar nedir?|Karıncalar|Arılar|Kuşlar|Solucanlar|D
237|K2|Popeye oyununda güçlenmek için ne yeriz?|Mantar|Ispanak|Elma|Havuç|B
238|K2|Excitebike oyununda motorumuz çok hızlanırsa ne olur?|Patlar|Uçar|Aşırı ısınır|Yakıt biter|C
239|K2|Mario'nun kardeşi Luigi hangi renktir?|Yeşil|Sarı|Kırmızı|Mavi|A
